date,value
10/18/2005,977705
10/19/2005,978883
10/20/2005,978883
10/21/2005,978750
10/22/2005,977789
10/23/2005,978511
10/24/2005,982596
10/25/2005,983594
10/26/2005,982641
10/27/2005,982641
10/28/2005,976440
10/29/2005,975683
10/30/2005,976656
10/31/2005,977774
11/1/2005,977611
11/2/2005,978565
11/3/2005,978970
11/4/2005,974298
11/5/2005,974298
11/6/2005,977095
11/7/2005,977088
11/8/2005,979363
11/9/2005,979889
11/10/2005,978863
11/11/2005,979231
11/12/2005,979231
11/13/2005,980047
11/14/2005,979792
11/15/2005,982236
11/16/2005,981778
11/17/2005,982202
11/18/2005,983406
11/19/2005,981796
11/20/2005,982662
11/21/2005,982662
11/22/2005,983507
11/23/2005,983273
11/24/2005,983454
11/25/2005,985451
11/26/2005,986292
11/27/2005,985549
11/28/2005,985549
11/29/2005,982161
11/30/2005,980932
12/1/2005,982184
12/2/2005,982424
12/3/2005,982140
12/4/2005,983272
12/5/2005,982744
12/6/2005,982445
12/7/2005,982625
12/8/2005,981132
12/9/2005,981297
12/10/2005,980433
12/11/2005,980234
12/12/2005,979344
12/13/2005,979630
12/14/2005,979630
12/15/2005,980035
12/16/2005,980391
12/17/2005,980428
12/18/2005,981009
12/19/2005,981490
12/20/2005,981693
12/21/2005,981766
12/22/2005,982578
12/23/2005,982578
12/24/2005,982404
12/25/2005,981790
12/26/2005,980734
12/27/2005,980373
12/28/2005,979518
12/29/2005,979541
12/30/2005,979541
12/31/2005,979473
1/1/2006,979694
1/2/2006,979650
1/3/2006,981296
1/4/2006,982217
1/5/2006,983059
1/6/2006,983696
1/7/2006,983278
1/8/2006,983278
1/9/2006,983377
1/10/2006,984134
1/11/2006,983968
1/12/2006,984169
1/13/2006,984959
1/14/2006,984160
1/15/2006,984160
1/16/2006,983715
1/17/2006,983828
1/18/2006,984073
1/19/2006,983002
1/20/2006,982737
1/21/2006,983322
1/22/2006,981703
1/23/2006,983925
1/24/2006,983925
1/25/2006,982795
1/26/2006,984296
1/27/2006,986133
1/28/2006,979190
1/29/2006,979190
1/30/2006,979480
1/31/2006,979480
2/1/2006,987060
2/2/2006,986124
2/3/2006,988426
2/4/2006,988367
2/5/2006,988455
2/6/2006,989061
2/7/2006,986995
2/8/2006,987062
2/9/2006,987062
2/10/2006,987676
2/11/2006,987844
2/12/2006,987319
2/13/2006,987852
2/14/2006,988909
2/15/2006,989348
2/16/2006,989348
2/17/2006,985435
2/18/2006,986790
2/19/2006,986210
2/20/2006,986535
2/21/2006,987628
2/22/2006,986869
2/23/2006,986931
2/24/2006,-32000
2/25/2006,-32000
2/26/2006,991517
2/27/2006,990061
2/28/2006,990061
3/1/2006,990061
3/2/2006,988344
3/3/2006,-32000
3/4/2006,-32000
3/5/2006,989348
3/6/2006,989348
3/7/2006,988807
3/8/2006,988807
3/9/2006,987159
3/10/2006,987159
3/11/2006,-32000
3/12/2006,-32000
3/13/2006,-32000
3/14/2006,985050
3/15/2006,986259
3/16/2006,986259
3/17/2006,988169
3/18/2006,989348
3/19/2006,990251
3/20/2006,990251
3/21/2006,989579
3/22/2006,988053
3/23/2006,987550
3/24/2006,986574
3/25/2006,985424
3/26/2006,985045
3/27/2006,983376
3/28/2006,987744
3/29/2006,987347
3/30/2006,989100
3/31/2006,985329
4/1/2006,981996
4/2/2006,983419
4/3/2006,982531
